ObjectMappingID,SourceConnection,ObjectType,SourceSchema,SourceTable,DestinationConnection,DestinationSchema,DestinationTable,PrimaryKeyColumn,IsEnabled,IsNew
42,ADAPT,PSA_Adapt,dbo,PROP_JOB_GEN,sql_dwh,ADAPT,PROP_JOB_GEN,BISUNIQUEID,1,1
43,ADAPT,PSA_Adapt,dbo,PROP_JOB_HIST,sql_dwh,ADAPT,PROP_JOB_HIST,BISUNIQUEID,1,1
44,ADAPT,PSA_Adapt,dbo,PROP_JOB_JOBBOARD,sql_dwh,ADAPT,PROP_JOB_JOBBOARD,BISUNIQUEID,1,1
45,ADAPT,PSA_Adapt,dbo,PROP_OWN_CONS,sql_dwh,ADAPT,PROP_OWN_CONS,BISUNIQUEID,1,1
46,ADAPT,PSA_Adapt,dbo,PROP_PERSON_GEN,sql_dwh,ADAPT,PROP_PERSON_GEN,BISUNIQUEID,1,1
47,ADAPT,PSA_Adapt,dbo,PROP_PJOB_GEN,sql_dwh,ADAPT,PROP_PJOB_GEN,BISUNIQUEID,1,1
48,ADAPT,PSA_Adapt,dbo,PROP_RTE_HRS_HIST,sql_dwh,ADAPT,PROP_RTE_HRS_HIST,BISUNIQUEID,1,1
49,ADAPT,PSA_Adapt,dbo,PROP_SHORT_GEN,sql_dwh,ADAPT,PROP_SHORT_GEN,BISUNIQUEID,1,1
50,ADAPT,PSA_Adapt,dbo,PROP_SI_HOBBIES,sql_dwh,ADAPT,PROP_SI_HOBBIES,BISUNIQUEID,1,1
51,ADAPT,PSA_Adapt,dbo,PROP_SI_SUPPORT,sql_dwh,ADAPT,PROP_SI_SUPPORT,BISUNIQUEID,1,1
52,ADAPT,PSA_Adapt,dbo,PROP_WP_COM,sql_dwh,ADAPT,PROP_WP_COM,BISUNIQUEID,1,1
53,ADAPT,PSA_Adapt,dbo,PROP_WP_GEN,sql_dwh,ADAPT,PROP_WP_GEN,BISUNIQUEID,1,1
54,ADAPT,PSA_Adapt,dbo,PROP_X_ACT_PLAN,sql_dwh,ADAPT,PROP_X_ACT_PLAN,BISUNIQUEID,1,1
55,ADAPT,PSA_Adapt,dbo,PROP_X_ASSIG_CAND,sql_dwh,ADAPT,PROP_X_ASSIG_CAND,BISUNIQUEID,1,1
56,ADAPT,PSA_Adapt,dbo,PROP_X_CAND_WP,sql_dwh,ADAPT,PROP_X_CAND_WP,BISUNIQUEID,1,1
57,ADAPT,PSA_Adapt,dbo,PROP_X_CLIENT_JOB,sql_dwh,ADAPT,PROP_X_CLIENT_JOB,BISUNIQUEID,1,1
58,ADAPT,PSA_Adapt,dbo,PROP_X_CUST_ANSR,sql_dwh,ADAPT,PROP_X_CUST_ANSR,BISUNIQUEID,1,1
59,ADAPT,PSA_Adapt,dbo,PROP_X_CUST_ASSES,sql_dwh,ADAPT,PROP_X_CUST_ASSES,BISUNIQUEID,1,1
60,ADAPT,PSA_Adapt,dbo,PROP_X_DSUB_CAND,sql_dwh,ADAPT,PROP_X_DSUB_CAND,BISUNIQUEID,1,1
61,ADAPT,PSA_Adapt,dbo,PROP_X_DUPL_CAND,sql_dwh,ADAPT,PROP_X_DUPL_CAND,BISUNIQUEID,1,1
62,ADAPT,PSA_Adapt,dbo,PROP_X_ORG_SITE,sql_dwh,ADAPT,PROP_X_ORG_SITE,BISUNIQUEID,1,1
63,ADAPT,PSA_Adapt,dbo,PROP_X_PC_BARRIER,sql_dwh,ADAPT,PROP_X_PC_BARRIER,BISUNIQUEID,1,1
64,ADAPT,PSA_Adapt,dbo,PROP_X_PC_DOC,sql_dwh,ADAPT,PROP_X_PC_DOC,BISUNIQUEID,1,1
65,ADAPT,PSA_Adapt,dbo,PROP_X_PLAN_PROGR,sql_dwh,ADAPT,PROP_X_PLAN_PROGR,BISUNIQUEID,1,1
66,ADAPT,PSA_Adapt,dbo,PROP_X_SHORT_CAND,sql_dwh,ADAPT,PROP_X_SHORT_CAND,BISUNIQUEID,1,1
67,ADAPT,PSA_Adapt,dbo,PROP_X_SHORT_IV,sql_dwh,ADAPT,PROP_X_SHORT_IV,BISUNIQUEID,1,1
68,ADAPT,PSA_Adapt,dbo,PROP_X_VAC_SITE,sql_dwh,ADAPT,PROP_X_VAC_SITE,BISUNIQUEID,1,1
69,ADAPT,PSA_Adapt,dbo,PROP_X_WP_EMPL,sql_dwh,ADAPT,PROP_X_WP_EMPL,BISUNIQUEID,1,1
70,ADAPT,PSA_Adapt,dbo,PROP_X_WP_GRADING,sql_dwh,ADAPT,PROP_X_WP_GRADING,BISUNIQUEID,1,1
71,ADAPT,PSA_Adapt,dbo,SC_CODES,sql_dwh,ADAPT,SC_CODES,,0,1
72,ADAPT,PSA_Adapt,dbo,PROP_X_BR_ACTIVITY,sql_dwh,ADAPT,PROP_X_BR_ACTIVITY,BISUNIQUEID,0,1
73,ADAPT,PSA_Adapt,dbo,RemployCreated_JobLeaveAudit,sql_dwh,ADAPT,RemployCreated_JobLeaveAudit,ID,1,1
74,ADAPT,PSA_Adapt,dbo,PROP_SOCIAL_IMP,sql_dwh,ADAPT,PROP_SOCIAL_IMP,BISUNIQUEID,1,1
75,ADAPT,PSA_Adapt,dbo,PROP_SOC_IMP_HIST,sql_dwh,ADAPT,PROP_SOC_IMP_HIST,BISUNIQUEID,1,1
76,ADAPT,PSA_Adapt,dbo,vw_zSysUsers,sql_dwh,ADAPT,vw_zSysUsers,UserID,1,1
77,ADAPT,PSA_Adapt,dbo,vw_Documents_PSA,sql_dwh,ADAPT,vw_Documents_PSA,DOC_ID,1,1
78,ADAPT,PSA_Adapt,dbo,vw_Journal_Entries_Delta,sql_dwh,ADAPT,vw_Journal_Entries_Delta,Journal_ID,0,0
79,ADAPT,PSA_Adapt,dbo,vw_Journal_Entries_Delta2,sql_dwh,ADAPT,vw_Journal_Entries_Delta2,Journal_ID,1,1
1010,ICONI,PSA_Iconi,dbo,vBICommon_Admin_Contact_Details,sql_dwh,ICONI,vBICommon_Admin_Contact_Details,admin_contact_details_id,1,1
