ObjectMappingID,SourceConnection,ObjectType,SourceSchema,SourceTable,DestinationConnection,DestinationSchema,DestinationTable,IsEnabled,SourceGroup
52,sql_dwh,DV,ADAPT,LINK_Vacancy_Assignment,sql_dwh,DV,LINK_Vacancy_Assignment,1,
53,sql_dwh,DV,ADAPT,LINK_Vacancy_JobCategory,sql_dwh,DV,LINK_Vacancy_JobCategory,1,
54,sql_dwh,DV,ADAPT,SAT_AssignmentEarningPattern_Adapt_Core,sql_dwh,DV,SAT_AssignmentEarningPattern_Adapt_Core,1,
55,sql_dwh,DV,ADAPT,SAT_JobCategory_Adapt_Core,sql_dwh,DV,SAT_JobCategory_Adapt_Core,1,
56,sql_dwh,DV,ADAPT,SAT_EmploymentSite_Adapt_Core,sql_dwh,DV,SAT_EmploymentSite_Adapt_Core,1,
57,sql_dwh,DV,ADAPT,HUB_EmploymentSite,sql_dwh,DV,HUB_EmploymentSite,1,
58,sql_dwh,DV,ADAPT,SAT_Vacancy_Adapt_Job,sql_dwh,DV,SAT_Vacancy_Adapt_Job,1,
59,sql_dwh,DV,ADAPT,BRIDGE_JobCategory,sql_dwh,DV,BRIDGE_JobCategory,1,
60,sql_dwh,DV,ICONI,HUB_Participant,sql_dwh,DV,HUB_Participant,1,
61,sql_dwh,DV,ICONI,SAT_Participant_Iconi_Address,sql_dwh,DV,SAT_Participant_Iconi_Address,1,
62,sql_dwh,DV,ICONI,SAT_Participant_Iconi_Contact,sql_dwh,DV,SAT_Participant_Iconi_Contact,1,
63,sql_dwh,DV,ICONI,SAT_Participant_Iconi_Equality,sql_dwh,DV,SAT_Participant_Iconi_Equality,1,
64,sql_dwh,DV,ICONI,SAT_Participant_Iconi_Core,sql_dwh,DV,SAT_Participant_Iconi_Core,1,
65,sql_dwh,DV,ICONI,HUB_Case,sql_dwh,DV,HUB_Case,1,
66,sql_dwh,DV,ICONI,LINK_Case_Participant,sql_dwh,DV,LINK_Case_Participant,1,
67,sql_dwh,DV,ICONI,SAT_Case_Iconi_Core,sql_dwh,DV,SAT_Case_Iconi_Core,1,
68,sql_dwh,DV,ICONI,SAT_Case_Iconi_Dates,sql_dwh,DV,SAT_Case_Iconi_Dates,1,
69,sql_dwh,DV,ICONI,HUB_Referral,sql_dwh,DV,HUB_Referral,1,
70,sql_dwh,DV,ICONI,LINK_Referral_Participant,sql_dwh,DV,LINK_Referral_Participant,1,
71,sql_dwh,DV,ICONI,SAT_Referral_Iconi_Core,sql_dwh,DV,SAT_Referral_Iconi_Core,1,
72,sql_dwh,DV,ADAPT,SAT_Barriers_Adapt_Core,sql_dwh,DV,SAT_Barriers_Adapt_Core,1,
73,sql_dwh,DV,ADAPT,LINK_Case_Barriers,sql_dwh,DV,LINK_Case_Barriers,1,
74,sql_dwh,DV,ADAPT,HUB_Barriers,sql_dwh,DV,HUB_Barriers,1,
75,sql_dwh,DV,ICONI,HUB_RequestingSite,sql_dwh,DV,HUB_RequestingSite,1,
76,sql_dwh,DV,ICONI,LINK_Referral_RequestingSite,sql_dwh,DV,LINK_Referral_RequestingSite,1,
77,sql_dwh,DV,ICONI,SAT_RequestingSite_Iconi_Core,sql_dwh,DV,SAT_RequestingSite_Iconi_Core,1,
78,sql_dwh,DV,ICONI,SAT_Case_Iconi_Eligibility,sql_dwh,DV,SAT_Case_Iconi_Eligibility,1,
79,sql_dwh,DV,ICONI,HUB_Programme,sql_dwh,DV,HUB_Programme,1,
80,sql_dwh,DV,ICONI,SAT_Programme_Iconi_Core,sql_dwh,DV,SAT_Programme_Iconi_Core,1,
